Nama_KK,NIK,Domisili,Tanggal_Lahir,Pekerjaan,Pendapatan,Jumlah_Anggota_Keluarga,Jumlah_Ibu_Hamil,Jumlah_Balita,Jumlah_Lansia,Jumlah_Anak_Putus_Sekolah,Jumlah_Anggota_Disabilitas,Pendapatan_Numerik,Umur
Mana Wayudin,320050643115741000,Semarang,21/11/1974,Buruh,Rp 1.000.000,7,0,2,2,2,0,1000000,50
Ozy Usada,320035080157737000,Padang,25/03/1993,Buruh,Rp 2.000.000,5,0,2,0,1,1,2000000,32
Kenzie Ardianto,320066370425922000,Manado,09/10/1991,Petani,Rp 500.000,5,1,1,2,0,1,500000,33
Balamantri Nurdiyanti,320020160642594000,Medan,21/01/1969,Petani,Rp 2.000.000,7,0,3,1,2,1,2000000,56
Xanana Saefulla,320065198827649000,Lampung,26/09/1971,Wiraswasta,Rp 1.000.000,6,0,1,2,2,0,1000000,53
Ica Nababan,320091881160809000,Semarang,11/02/1985,Karyawan,Rp 500.000,3,0,0,2,1,0,500000,40
Kariman Puspasari,320086729908420000,Merauke,05/11/1968,Wiraswasta,Rp 1.000.000,3,1,0,0,1,0,1000000,56
Yance Simbolon,320032607950517000,Manokwari,07/06/1977,Wiraswasta,Rp 2.000.000,7,1,1,1,1,2,2000000,48
Nyana Mustofa,320038149738175000,Padang,01/07/2000,Petani,Rp 2.000.000,3,1,0,1,1,0,2000000,25
Calista Siombing,320070309459112000,Malang,30/08/1971,Tidak Bekerja,Rp 0,4,0,1,0,1,1,0,53
Rati Saragi,320056828111469000,Malang,02/09/1956,Karyawan,Rp 2.000.000,8,1,2,2,1,1,2000000,68
Nrima Uyaina,320074458197692000,Depok,24/05/1980,Tidak Bekerja,Rp 0,5,0,0,1,2,2,0,45
Nilam Simanjuntak,320083569091806000,Bengkulu,26/06/1992,Buruh,Rp 1.500.000,3,0,1,1,0,0,1500000,33
Saadat Suartini,320055263288603000,Bogor,20/01/1975,Wiraswasta,Rp 1.500.000,2,0,0,0,2,0,1500000,50
Nilam Tamrin,320007526903666000,Merauke,14/07/1976,Buruh,Rp 500.000,5,1,3,0,0,1,500000,48
Kartika Utama,320005834153295000,Padang,10/12/1955,Buruh,Rp 500.000,4,0,0,2,1,1,500000,69
Kjayeng Ramawati,320020524369779000,Sorong,22/08/1973,Petani,Rp 2.000.000,4,1,2,0,0,1,2000000,51
