Nama_KK,NIK,Domisili,Tanggal_Lahir,Pekerjaan,Pendapatan,Jumlah_Anggota_Keluarga,Jumlah_Ibu_Hamil,Jumlah_Balita,Jumlah_Lansia,Jumlah_Anak_Putus_Sekolah,Jumlah_Anggota_Disabilitas
Mana Wayudin,320050643115741000,Semarang,21/11/1974,Buru,Rp1.000.000,7,0,2,2,2,0
Ozy Usada,320035080157737000,Padang,25/03/1993,Buru,Rp2.000.000,5,0,2,0,1,1
Kenzie Ardianto,320066370425922000,Manado,09/10/1991,Petani,Rp500.000,5,1,1,2,0,1
Balamantri Nurdiyanti,320020160642594000,Medan,21/01/1969,Petani,Rp2.000.000,7,0,3,1,2,1
Xanana Saefulla,320065198827649000,Lampung,26/09/1971,Wiraswasta,Rp1.000.000,6,0,1,2,2,0
Ica Nababan,320091881160809000,Semarang,11/02/1985,Karyawan,Rp500.000,3,0,0,2,1,0
Kariman Puspasari,320086729908420000,Merauke,05/11/1968,Wiraswasta,Rp1.000.000,3,1,0,0,1,0
Yance Simbolon,320032607950517000,Manokwari,07/06/1977,Wiraswasta,Rp2.000.000,7,1,1,1,1,2
Nyana Mustofa,320038149738175000,Padang,01/07/2000,Petani,Rp2.000.000,3,1,0,1,1,0
Calista Siombing,320070309459112000,Malang,30/08/1971,Tidak Bekerja,Rp0,4,0,1,0,1,1
Rati Saragi,320056828111469000,Malang,02/09/1956,Karyawan,Rp2.000.000,8,1,2,2,1,1
Nrima Uyaina,320074458197692000,Depok,24/05/1980,Tidak Bekerja,Rp0,5,0,0,1,2,2
Nilam Simanjuntak,320083569091806000,Bengkulu,26/06/1992,Buruh,Rp1.500.000,3,0,1,1,0,0
Saadat Suartini,320055263288603000,Bogor,20/01/1975,Wiraswasta,Rp1.500.000,2,0,0,0,2,0
Nilam Tamrin,320007526903666000,Merauke,14/07/1976,Buruh,Rp500.000,5,1,3,0,0,1
Kartika Utama,320005834153295000,Padang,10/12/1955,Buruh,Rp500.000,4,0,0,2,1,1
Kjayeng Ramawati,320020524369779000,Sorong,22/08/1973,Petani,Rp2.000.000,4,1,2,0,0,1
Bambang Pratama,320023757541922000,Pekanbaru,13/09/1997,Petani,Rp500.000,7,1,2,2,1,1
Ina Prakasa,320012178302779000,Depok,18/05/1981,Wiraswasta,Rp2.000.000,5,0,1,0,2,2
Kania Agustina,320014201781673000,Depok,13/03/1957,Buruh,Rp1.500.000,6,0,2,2,1,1
Bagas Sudiati,320095076107476000,Lampung,22/12/1974,Karyawan,Rp1.500.000,8,1,2,0,2,2
Alika Nurdiyanti,320026996547400000,Bogor,17/04/1986,Wiraswasta,Rp1.500.000,7,0,0,2,2,2
Saiful Zulkarnain,320050279632018000,Pontianak,08/10/1986,Petani,Rp2.000.000,7,1,1,2,0,2
Eru Nurdiyanti,320025520814230000,Manokwari,16/05/1956,Karyawan,Rp2.000.000,5,0,1,1,1,2
Emong Yolanda,320061641922481000,Lampung,25/06/1956,Buruh,Rp1.500.000,7,1,3,1,1,1
Asmadi Idayat,320083674157812000,Manokwari,04/03/1970,Tidak Bekerja,Rp0,6,1,2,1,2,0
Titi Saefulla,320025053848712000,Semarang,20/04/2025,Karyawan,Rp1.500.000,11,1,3,2,2,2
Ana Wijaya,320049615997543000,Gorontalo,14/06/1979,Karyawan,Rp1.500.000,8,1,1,1,2,2
Aisya Widiastuti,320055493809217000,Malang,08/08/1967,Tidak Bekerja,Rp0,3,1,0,1,0,0
Rwani Dabukke,320065660405344000,Balikpapan,05/10/1995,Petani,Rp2.000.000,3,0,1,2,0,0
Warta Sirait,320025395899437000,Banjarmasin,05/05/1997,Karyawan,Rp2.000.000,9,0,3,2,2,2
Nadine Agustina,320054432077941000,Semarang,07/07/1995,Wiraswasta,Rp500.000,1,0,0,1,0,0
Ani Aryanti,320099790408632000,Palembang,17/07/1965,Tidak Bekerja,Rp0,5,1,1,1,2,0
Timbul Lailasari,320006745305159000,Pontianak,16/09/1998,Tidak Bekerja,Rp0,6,0,3,2,0,1
Tgk Balapati Zulaika,320087789454308000,Palu,12/01/1994,Tidak Bekerja,Rp0,5,0,3,2,0,0
Fitria Suwarno,320001941615529000,Bandung,18/07/1994,Buruh,Rp500.000,5,0,0,2,2,0
Kamila Prasetya,320022099756722000,Depok,10/11/1975,Petani,Rp500.000,4,1,1,0,0,2
Rangga Saefulla,320086794541978000,Pontianak,19/10/1990,Buruh,Rp2.000.000,6,0,3,1,1,1
Rlatika Widiastuti,320029523417350000,Semarang,28/04/1957,Buruh,Rp1.000.000,3,0,2,1,0,0
Sabri Ramawati,320090131222138000,Manokwari,15/02/1993,Buruh,Rp1.500.000,4,0,0,1,0,2
Tgk Wisnu Pudjiastuti,320045178801629000,Gorontalo,24/04/1978,Wiraswasta,Rp1.000.000,4,1,1,1,0,0
Lanang Kusumo,320054244519285000,Balikpapan,23/05/1961,Petani,Rp1.500.000,5,0,1,2,2,0
Zamira Rajata,320028864619255000,Banjarmasin,06/12/1965,Tidak Bekerja,Rp0,5,1,0,0,2,1
Vino Pangestu,320058935744799000,Pekanbaru,01/03/1991,Tidak Bekerja,Rp0,3,1,0,0,2,0
Martani Farida,320026658648285000,Bengkulu,27/03/1962,Tidak Bekerja,Rp0,7,1,3,0,0,2
Rudi Laksita,320044153485704000,Makassar,23/04/1989,Wiraswasta,Rp1.500.000,4,0,1,0,1,1
Vicky Simanjuntak,320041407404848000,Sorong,06/05/1961,Buruh,Rp500.000,4,0,0,0,1,2
Mala Zulaika,320019868494507000,Malang,02/05/1965,Petani,Rp1.000.000,7,1,2,1,2,1
Oliva Anggriawan,320075479734574000,Depok,09/08/1960,Wiraswasta,Rp1.500.000,6,1,1,0,2,1
Bagiya Novitasari,320078930615272000,Pontianak,30/07/1975,Tidak Bekerja,Rp0,6,1,3,2,0,0
Julia Manullang,320042576891809000,Medan,28/06/1975,Tidak Bekerja,Rp0,6,1,0,2,0,2
Samia Sinaga,320039233492183000,Bekasi,19/12/1991,Tidak Bekerja,Rp0,3,0,0,0,1,2
Banara Kurniawan,320073103025530000,Bengkulu,14/04/1993,Buruh,Rp1.000.000,7,0,3,2,2,0
Gilda Prastuti,320091242876782000,Balikpapan,14/12/1987,Buruh,Rp1.500.000,5,0,2,1,1,1
Nadia Alima,320033176011845000,Padang,13/10/1963,Wiraswasta,Rp4.000.000,8,1,1,2,2,2
Legawa Nasyida,320079064791514000,Kendari,12/10/1983,Karyawan,Rp1.000.000,3,0,0,1,0,2
Aditya Mustofa,320098307948501000,Depok,19/12/1974,Karyawan,Rp2.000.000,4,1,0,2,1,0
Ikin Saptono,320083365575031000,Pekanbaru,21/07/2025,Karyawan,Rp2.000.000,6,0,3,0,0,2
Gading Fujiati,320045584128988000,Jambi,18/05/1994,Buruh,Rp1.500.000,7,1,1,1,2,2
Ayu Prasetyo,320076104779405000,Malang,22/09/1965,Tidak Bekerja,Rp0,8,0,3,2,2,0
Zara Akim,320014706389760000,Samarinda,12/02/1964,Karyawan,Rp1.500.000,5,1,1,2,1,0
Laras Akim,320060859991178000,Padang,06/06/1998,Tidak Bekerja,Rp0,5,0,3,0,1,0
Arsanto Situmorang,320032382067648000,Sorong,03/11/1994,Petani,Rp2.000.000,3,0,2,0,1,0
Puti Elisa Narpati,320016870517187000,Samarinda,22/04/1995,Petani,Rp1.200.000,7,1,1,2,1,2
Sakura Yuliarti,320044896163013000,Bengkulu,13/04/1970,Tidak Bekerja,Rp0,4,0,0,1,2,1
Galu Agustina,320033512659439000,Manado,24/03/1961,Karyawan,Rp2.000.000,6,0,2,2,0,1
Zulfa Assana,320010455561674000,Medan,08/10/1994,Wiraswasta,Rp2.000.000,7,0,2,0,2,2
Paiman Wibisono,320018215799380000,Manado,08/02/1968,Wiraswasta,Rp1.000.000,5,0,2,0,2,1
Wira Prakasa,320006677789361000,Merauke,09/10/1991,Buru,Rp500.000,6,1,0,1,2,1
Ratna Farida,320054087834713000,Gorontalo,13/04/1987,Karyawan,Rp3.500.000,3,0,1,0,2,0
Cakrawala Winarno,320074509610763000,Pontianak,04/05/1959,Buru,Rp1.000.000,7,0,2,1,1,2
