Nama_KK,NIK,Domisili,Tanggal_Lahir,Pekerjaan,Pendapatan,Jumlah_Anggota_Keluarga,Jumlah_Ibu_Hamil,Jumlah_Balita,Jumlah_Lansia,Jumlah_Anak_Putus_Sekolah,Jumlah_Anggota_Disabilitas,Pendapatan_Numerik,Umur,KSE,KSE_Score,KSE_Details,P1_Flag,P2_Flag,P3_Flag,P4_Flag,P5_Flag,P6_Flag
Mana Wayudin,3200506431157410,Semarang,21/11/1974,Buruh,Rp 1.000.000,7,0,2,2,2,0,1000000,50,"P1,P3,P4,P6",4,"Score: 4/6 - P1,P3,P4,P6",1,0,1,1,0,1
Ozy Usada,3200350801577370,Padang,25/03/1993,Buruh,Rp 2.000.000,5,0,2,0,1,1,2000000,32,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6",1,0,1,0,1,1
Kenzie Ardianto,3200663704259220,Manado,09/10/1991,Petani,Rp 500.000,5,1,1,2,0,1,500000,33,"P1,P4,P5",3,"Score: 3/6 - P1,P4,P5",1,0,0,1,1,0
Balamantri Nurdiyanti,3200201606425940,Medan,21/01/1969,Petani,Rp 2.000.000,7,0,3,1,2,1,2000000,56,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6",1,0,1,0,1,1
Xanana Saefulla,3200651988276490,Lampung,26/09/1971,Wiraswasta,Rp 1.000.000,6,0,1,2,2,0,1000000,53,"P1,P4,P6",3,"Score: 3/6 - P1,P4,P6",1,0,0,1,0,1
Ica Nababan,3200918811608090,Semarang,11/02/1985,Karyawan,Rp 500.000,3,0,0,2,1,0,500000,40,"P1,P2,P4,P6",4,"Score: 4/6 - P1,P2,P4,P6",1,1,0,1,0,1
Kariman Puspasari,3200867299084200,Merauke,05/11/1968,Wiraswasta,Rp 1.000.000,3,1,0,0,1,0,1000000,56,"P1,P2,P6",3,"Score: 3/6 - P1,P2,P6",1,1,0,0,0,1
Yance Simbolon,3200326079505170,Manokwari,07/06/1977,Wiraswasta,Rp 2.000.000,7,1,1,1,1,2,2000000,48,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6",1,0,0,0,1,1
Nyana Mustofa,3200381497381750,Padang,01/07/2000,Petani,Rp 2.000.000,3,1,0,1,1,0,2000000,25,"P1,P2,P6",3,"Score: 3/6 - P1,P2,P6",1,1,0,0,0,1
Calista Siombing,3200703094591120,Malang,30/08/1971,Tidak Bekerja,Rp 0,4,0,1,0,1,1,0,53,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6",1,0,0,0,1,1
Rati Saragi,3200568281114690,Malang,02/09/1956,Karyawan,Rp 2.000.000,8,1,2,2,1,1,2000000,68,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6",1,0,1,1,1,1
Nrima Uyaina,3200744581976920,Depok,24/05/1980,Tidak Bekerja,Rp 0,5,0,0,1,2,2,0,45,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6",1,0,0,0,1,1
Nilam Simanjuntak,3200835690918060,Bengkulu,26/06/1992,Buruh,Rp 1.500.000,3,0,1,1,0,0,1500000,33,"P1,P2",2,"Score: 2/6 - P1,P2",1,1,0,0,0,0
Saadat Suartini,3200552632886030,Bogor,20/01/1975,Wiraswasta,Rp 1.500.000,2,0,0,0,2,0,1500000,50,"P1,P2,P6",3,"Score: 3/6 - P1,P2,P6",1,1,0,0,0,1
Nilam Tamrin,3200075269036660,Merauke,14/07/1976,Buruh,Rp 500.000,5,1,3,0,0,1,500000,48,"P1,P3,P5",3,"Score: 3/6 - P1,P3,P5",1,0,1,0,1,0
Kartika Utama,3200058341532950,Padang,10/12/1955,Buruh,Rp 500.000,4,0,0,2,1,1,500000,69,"P1,P4,P5,P6",4,"Score: 4/6 - P1,P4,P5,P6",1,0,0,1,1,1
