Nama_KK,NIK,Domisili,Tanggal_Lahir,Pekerjaan,Pendapatan,Jumlah_Anggota_Keluarga,Jumlah_Ibu_Hamil,Jumlah_Balita,Jumlah_Lansia,Jumlah_Anak_Putus_Sekolah,Jumlah_Anggota_Disabilitas,Pendapatan_Numerik,Umur,KSE,KSE_Score,KSE_Details
Kenzie Ardianto,320066370425922000,Manado,09/10/1991,Petani,Rp 500.000,5,1,1,2,0,1,500000,33,"P1,P4,P5",3,"Score: 3/6 - P1,P4,P5"
Xanana Saefulla,320065198827649000,Lampung,26/09/1971,Wiraswasta,Rp 1.000.000,6,0,1,2,2,0,1000000,53,"P1,P4,P6",3,"Score: 3/6 - P1,P4,P6"
Kariman Puspasari,320086729908420000,Merauke,05/11/1968,Wiraswasta,Rp 1.000.000,3,1,0,0,1,0,1000000,56,"P1,P2,P6",3,"Score: 3/6 - P1,P2,P6"
Yance Simbolon,320032607950517000,Manokwari,07/06/1977,Wiraswasta,Rp 2.000.000,7,1,1,1,1,2,2000000,48,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6"
Nyana Mustofa,320038149738175000,Padang,01/07/2000,Petani,Rp 2.000.000,3,1,0,1,1,0,2000000,25,"P1,P2,P6",3,"Score: 3/6 - P1,P2,P6"
Calista Siombing,320070309459112000,Malang,30/08/1971,Tidak Bekerja,Rp 0,4,0,1,0,1,1,0,53,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6"
Nrima Uyaina,320074458197692000,Depok,24/05/1980,Tidak Bekerja,Rp 0,5,0,0,1,2,2,0,45,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6"
Nilam Simanjuntak,320083569091806000,Bengkulu,26/06/1992,Buruh,Rp 1.500.000,3,0,1,1,0,0,1500000,33,"P1,P2",2,"Score: 2/6 - P1,P2"
Saadat Suartini,320055263288603000,Bogor,20/01/1975,Wiraswasta,Rp 1.500.000,2,0,0,0,2,0,1500000,50,"P1,P2,P6",3,"Score: 3/6 - P1,P2,P6"
Nilam Tamrin,320007526903666000,Merauke,14/07/1976,Buruh,Rp 500.000,5,1,3,0,0,1,500000,48,"P1,P3,P5",3,"Score: 3/6 - P1,P3,P5"
Kjayeng Ramawati,320020524369779000,Sorong,22/08/1973,Petani,Rp 2.000.000,4,1,2,0,0,1,2000000,51,"P1,P3,P5",3,"Score: 3/6 - P1,P3,P5"
Ina Prakasa,320012178302779000,Depok,18/05/1981,Wiraswasta,Rp 2.000.000,5,0,1,0,2,2,2000000,44,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6"
Saiful Zulkarnain,320050279632018000,Pontianak,08/10/1986,Petani,Rp 2.000.000,7,1,1,2,0,2,2000000,38,"P1,P4,P5",3,"Score: 3/6 - P1,P4,P5"
Eru Nurdiyanti,320025520814230000,Manokwari,16/05/1956,Karyawan,Rp 2.000.000,5,0,1,1,1,2,2000000,69,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6"
Asmadi Idayat,320083674157812000,Manokwari,04/03/1970,Tidak Bekerja,Rp 0,6,1,2,1,2,0,0,55,"P1,P3,P6",3,"Score: 3/6 - P1,P3,P6"
Ana Wijaya,320049615997543000,Gorontalo,14/06/1979,Karyawan,Rp 1.500.000,8,1,1,1,2,2,1500000,46,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6"
Aisya Widiastuti,320055493809217000,Malang,08/08/1967,Tidak Bekerja,Rp 0,3,1,0,1,0,0,0,57,"P1,P2",2,"Score: 2/6 - P1,P2"
Rwani Dabukke.,320065660405344000,Balikpapan,05/10/1995,Petani,Rp 2.000.000,3,0,1,2,0,0,2000000,29,"P1,P2,P4",3,"Score: 3/6 - P1,P2,P4"
Nadine Agustina,320054432077941000,Semarang,07/07/1995,Wiraswasta,Rp 500.000,1,0,0,1,0,0,500000,29,"P1,P2",2,"Score: 2/6 - P1,P2"
Ani Aryanti,320099790408632000,Palembang,17/07/1965,Tidak Bekerja,Rp 0,5,1,1,1,2,0,0,59,"P1,P6",2,"Score: 2/6 - P1,P6"
Tgkbalapati Zulaika,320087789454308000,Palu,12/01/1994,Tidak Bekerja,Rp 0,5,0,3,2,0,0,0,31,"P1,P3,P4",3,"Score: 3/6 - P1,P3,P4"
