Nama_KK,NIK,Domisili,Tanggal_Lahir,Pekerjaan,Pendapatan,Jumlah_Anggota_Keluarga,Jumlah_Ibu_Hamil,Jumlah_Balita,Jumlah_Lansia,Jumlah_Anak_Putus_Sekolah,Jumlah_Anggota_Disabilitas,Pendapatan_Numerik,Umur,KSE,KSE_Score,KSE_Details
Mana Wayudin,320050643115741000,Semarang,21/11/1974,Buruh,Rp 1.000.000,7,0,2,2,2,0,1000000,50,"P1,P3,P4,P6",4,"Score: 4/6 - P1,P3,P4,P6"
Ozy Usada,320035080157737000,Padang,25/03/1993,Buruh,Rp 2.000.000,5,0,2,0,1,1,2000000,32,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Balamantri Nurdiyanti,320020160642594000,Medan,21/01/1969,Petani,Rp 2.000.000,7,0,3,1,2,1,2000000,56,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Ica Nababan,320091881160809000,Semarang,11/02/1985,Karyawan,Rp 500.000,3,0,0,2,1,0,500000,40,"P1,P2,P4,P6",4,"Score: 4/6 - P1,P2,P4,P6"
Rati Saragi,320056828111469000,Malang,02/09/1956,Karyawan,Rp 2.000.000,8,1,2,2,1,1,2000000,68,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6"
Kartika Utama,320005834153295000,Padang,10/12/1955,Buruh,Rp 500.000,4,0,0,2,1,1,500000,69,"P1,P4,P5,P6",4,"Score: 4/6 - P1,P4,P5,P6"
Bambang Pratama,320023757541922000,Pekanbaru,13/09/1997,Petani,Rp 500.000,7,1,2,2,1,1,500000,27,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6"
Kania Agustina,320014201781673000,Depok,13/03/1957,Buruh,Rp 1.500.000,6,0,2,2,1,1,1500000,68,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6"
Bagas Sudiati,320095076107476000,Lampung,22/12/1974,Karyawan,Rp 1.500.000,8,1,2,0,2,2,1500000,50,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Alika Nurdiyanti,320026996547400000,Bogor,17/04/1986,Wiraswasta,Rp 1.500.000,7,0,0,2,2,2,1500000,39,"P1,P4,P5,P6",4,"Score: 4/6 - P1,P4,P5,P6"
Emong Yolanda,320061641922481000,Lampung,25/06/1956,Buruh,Rp 1.500.000,7,1,3,1,1,1,1500000,69,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Warta Sirait,320025395899437000,Banjarmasin,05/05/1997,Karyawan,Rp 2.000.000,9,0,3,2,2,2,2000000,28,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6"
Timbul Lailasari,320006745305159000,Pontianak,16/09/1998,Tidak Bekerja,Rp 0,6,0,3,2,0,1,0,26,"P1,P3,P4,P5",4,"Score: 4/6 - P1,P3,P4,P5"
Rangga Saefulla,320086794541978000,Pontianak,19/10/1990,Buruh,Rp 2.000.000,6,0,3,1,1,1,2000000,34,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Mala Zulaika,320019868494507000,Malang,02/05/1965,Petani,Rp 1.000.000,7,1,2,1,2,1,1000000,60,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Samia Sinaga.,320039233492183000,Bekasi,19/12/1991,Tidak Bekerja,Rp 0,3,0,0,0,1,2,0,33,"P1,P2,P5,P6",4,"Score: 4/6 - P1,P2,P5,P6"
Banara Kurniawan,320073103025530000,Bengkulu,14/04/1993,Buruh,Rp 1.000.000,7,0,3,2,2,0,1000000,32,"P1,P3,P4,P6",4,"Score: 4/6 - P1,P3,P4,P6"
Gilda Prastuti,320091242876782000,Balikpapan,14/12/1987,Buruh,Rp 1.500.000,5,0,2,1,1,1,1500000,37,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
Ayu Prasetyo,320076104779405000,Malang,22/09/1965,Tidak Bekerja,Rp 0,8,0,3,2,2,0,0,59,"P1,P3,P4,P6",4,"Score: 4/6 - P1,P3,P4,P6"
