NIK,Jumlah_Anggota_Keluarga,Jumlah_Ibu_Hamil,Jumlah_Balita,Jumlah_Lansia,Jumlah_Anak_Putus_Sekolah,Jumlah_Anggota_Disabilitas
320050643115741000,7,0,2,2,2,0
320035080157737000,5,0,2,0,1,1
320066370425922000,5,1,1,2,0,1
320020160642594000,7,0,3,1,2,1
320065198827649000,6,0,1,2,2,0
320091881160809000,3,0,0,2,1,0
320086729908420000,3,1,0,0,1,0
320032607950517000,7,1,1,1,1,2
320038149738175000,3,1,0,1,1,0
320070309459112000,4,0,1,0,1,1
320056828111469000,8,1,2,2,1,1
320074458197692000,5,0,0,1,2,2
320083569091806000,3,0,1,1,0,0
320055263288603000,2,0,0,0,2,0
320007526903666000,5,1,3,0,0,1
320005834153295000,4,0,0,2,1,1
320020524369779000,4,1,2,0,0,1
320023757541922000,7,1,2,2,1,1
320012178302779000,5,0,1,0,2,2
320014201781673000,6,0,2,2,1,1
320095076107476000,8,1,2,0,2,2
320026996547400000,7,0,0,2,2,2
320050279632018000,7,1,1,2,0,2
320025520814230000,5,0,1,1,1,2
320061641922481000,7,1,3,1,1,1
320083674157812000,6,1,2,1,2,0
320025053848712000,11,1,3,2,2,2
320049615997543000,8,1,1,1,2,2
320055493809217000,3,1,0,1,0,0
320065660405344000,3,0,1,2,0,0
320025395899437000,9,0,3,2,2,2
320054432077941000,1,0,0,1,0,0
320099790408632000,5,1,1,1,2,0
320006745305159000,6,0,3,2,0,1
320087789454308000,5,0,3,2,0,0
320001941615529000,5,0,0,2,2,0
320022099756722000,4,1,1,0,0,2
320086794541978000,6,0,3,1,1,1
320029523417350000,3,0,2,1,0,0
320090131222138000,4,0,0,1,0,2
320045178801629000,4,1,1,1,0,0
320054244519285000,5,0,1,2,2,0
320028864619255000,5,1,0,0,2,1
320058935744799000,3,1,0,0,2,0
320026658648285000,7,1,3,0,0,2
320044153485704000,4,0,1,0,1,1
320041407404848000,4,0,0,0,1,2
320019868494507000,7,1,2,1,2,1
320075479734574000,6,1,1,0,2,1
320078930615272000,6,1,3,2,0,0
320042576891809000,6,1,0,2,0,2
320039233492183000,3,0,0,0,1,2
320073103025530000,7,0,3,2,2,0
320091242876782000,5,0,2,1,1,1
320033176011845000,8,1,1,2,2,2
320079064791514000,3,0,0,1,0,2
320098307948501000,4,1,0,2,1,0
320083365575031000,6,0,3,0,0,2
320045584128988000,7,1,1,1,2,2
320076104779405000,8,0,3,2,2,0
320014706389760000,5,1,1,2,1,0
320060859991178000,5,0,3,0,1,0
320032382067648000,3,0,2,0,1,0
320016870517187000,7,1,1,2,1,2
320044896163013000,4,0,0,1,2,1
320033512659439000,6,0,2,2,0,1
320010455561674000,7,0,2,0,2,2
320018215799380000,5,0,2,0,2,1
320006677789361000,6,1,0,1,2,1
320054087834713000,3,0,1,0,2,0
320074509610763000,7,0,2,1,1,2
320004561269204000,7,0,3,2,0,1
320083583792952000,6,0,0,2,1,2
320013415911875000,5,1,0,1,2,1
320079338007984000,6,1,3,0,0,1
320033618857197000,6,1,2,0,0,2
320051056018390000,5,1,0,0,2,2
320094937434646000,5,1,1,1,2,0
320044176569017000,6,1,3,0,1,0
320000313001879000,6,1,2,1,0,2
320035077947601000,7,0,2,2,2,0
320044291975929000,5,1,1,0,2,0
320024104672139000,4,1,0,1,1,1
320059482067099000,2,0,1,0,0,1
