NIK,Pendapatan,Pendapatan_Numerik
320050643115741000,Rp 1.000.000,1000000
320035080157737000,Rp 2.000.000,2000000
320066370425922000,Rp 500.000,500000
320020160642594000,Rp 2.000.000,2000000
320065198827649000,Rp 1.000.000,1000000
320091881160809000,Rp 500.000,500000
320086729908420000,Rp 1.000.000,1000000
320032607950517000,Rp 2.000.000,2000000
320038149738175000,Rp 2.000.000,2000000
320070309459112000,Rp 0,0
320056828111469000,Rp 2.000.000,2000000
320074458197692000,Rp 0,0
320083569091806000,Rp 1.500.000,1500000
320055263288603000,Rp 1.500.000,1500000
320007526903666000,Rp 500.000,500000
320005834153295000,Rp 500.000,500000
320020524369779000,Rp 2.000.000,2000000
320023757541922000,Rp 500.000,500000
320012178302779000,Rp 2.000.000,2000000
320014201781673000,Rp 1.500.000,1500000
320095076107476000,Rp 1.500.000,1500000
320026996547400000,Rp 1.500.000,1500000
320050279632018000,Rp 2.000.000,2000000
320025520814230000,Rp 2.000.000,2000000
320061641922481000,Rp 1.500.000,1500000
320083674157812000,Rp 0,0
320049615997543000,Rp 1.500.000,1500000
320055493809217000,Rp 0,0
320065660405344000,Rp 2.000.000,2000000
320025395899437000,Rp 2.000.000,2000000
320054432077941000,Rp 500.000,500000
320099790408632000,Rp 0,0
320006745305159000,Rp 0,0
320087789454308000,Rp 0,0
320001941615529000,Rp 500.000,500000
320022099756722000,Rp 500.000,500000
320086794541978000,Rp 2.000.000,2000000
320029523417350000,Rp 1.000.000,1000000
320090131222138000,Rp 1.500.000,1500000
320045178801629000,Rp 1.000.000,1000000
320054244519285000,Rp 1.500.000,1500000
320028864619255000,Rp 0,0
320058935744799000,Rp 0,0
320026658648285000,Rp 0,0
320044153485704000,Rp 1.500.000,1500000
320041407404848000,Rp 500.000,500000
320019868494507000,Rp 1.000.000,1000000
320075479734574000,Rp 1.500.000,1500000
320078930615272000,Rp 0,0
320042576891809000,Rp 0,0
320039233492183000,Rp 0,0
320073103025530000,Rp 1.000.000,1000000
320091242876782000,Rp 1.500.000,1500000
320079064791514000,Rp 1.000.000,1000000
320098307948501000,Rp 2.000.000,2000000
320083365575031000,Rp 2.000.000,2000000
320045584128988000,Rp 1.500.000,1500000
320076104779405000,Rp 0,0
320014706389760000,Rp 1.500.000,1500000
320060859991178000,Rp 0,0
320032382067648000,Rp 2.000.000,2000000
320016870517187000,Rp 1.200.000,1200000
320044896163013000,Rp 0,0
320033512659439000,Rp 2.000.000,2000000
320010455561674000,Rp 2.000.000,2000000
320018215799380000,Rp 1.000.000,1000000
320006677789361000,Rp 500.000,500000
320074509610763000,Rp 1.000.000,1000000
320004561269204000,Rp 1.000.000,1000000
320083583792952000,Rp 1.500.000,1500000
320013415911875000,Rp 0,0
320079338007984000,Rp 2.000.000,2000000
320033618857197000,Rp 1.000.000,1000000
320051056018390000,Rp 1.500.000,1500000
320094937434646000,Rp 1.000.000,1000000
320044176569017000,Rp 2.000.000,2000000
320000313001879000,Rp 1.200.000,1200000
320035077947601000,Rp 1.000.000,1000000
320044291975929000,Rp 0,0
320024104672139000,Rp 1.200.000,1200000
320059482067099000,Rp 0,0
320038150946212000,Rp 2.000.000,2000000
320075658086064000,Rp 1.500.000,1500000
320018517018389000,Rp 1.500.000,1500000
320006520662995000,Rp 0,0
320007577408220000,Rp 500.000,500000
320053230120765000,Rp 1.200.000,1200000
320000309718969000,Rp 2.600.000,2600000
320068568277692000,Rp 1.000.000,1000000
320028548735068000,Rp 1.000.000,1000000
320003054416112000,Rp 1.000.000,1000000
320028478046773000,Rp 500.000,500000
320076673045935000,Rp 1.500.000,1500000
320089510112061000,Rp 0,0
320057799679323000,Rp 2.000.000,2000000
320075676990496000,Rp 2.000.000,2000000
320050289522648000,Rp 0,0
320067539770761000,Rp 1.500.000,1500000
320009448235027000,Rp 1.000.000,1000000
320065742551108000,Rp 1.000.000,1000000
320062138243589000,Rp 0,0
320073335881469000,Rp 1.000.000,1000000
320032709212338000,Rp 2.100.000,2100000
320059532754062000,Rp 0,0
320006505378419000,Rp 500.000,500000
320092754345201000,Rp 500.000,500000
320048230247746000,Rp 500.000,500000
320045261647542000,Rp 2.000.000,2000000
320037455675347000,Rp 0,0
320021566606827000,Rp 500.000,500000
320015875062466000,Rp 0,0
320030827642432000,Rp 500.000,500000
320010151752212000,Rp 1.500.000,1500000
320086186606389000,Rp 500.000,500000
320036183360206000,Rp 500.000,500000
320054576645562000,Rp 500.000,500000
320094515279408000,Rp 2.800.000,2800000
320044863685758000,Rp 1.500.000,1500000
320017436349933000,Rp 2.000.000,2000000
320017417376093000,Rp 500.000,500000
320046132065600000,Rp 2.000.000,2000000
320008051919634000,Rp 1.500.000,1500000
320009109413572000,Rp 1.000.000,1000000
320048296222397000,Rp 500.000,500000
320070766201849000,Rp 2.000.000,2000000
320053396840760000,Rp 0,0
320047231730906000,Rp 1.200.000,1200000
320054694985599000,Rp 439.000,439000
320044883152054000,Rp 1.500.000,1500000
320009148957972000,Rp 500.000,500000
320047012816300000,Rp 1.000.000,1000000
320027772750503000,Rp 0,0
320028498718726000,Rp 0,0
320018657141715000,Rp 1.500.000,1500000
320091761565619000,Rp 2.000.000,2000000
320096271408769000,Rp 1.500.000,1500000
320088084236969000,Rp 500.000,500000
320008285141317000,Rp 1.500.000,1500000
320049314425651000,Rp 2.000.000,2000000
320088830918559000,Rp 1.500.000,1500000
320082661386687000,Rp 1.500.000,1500000
320028249102693000,Rp 500.000,500000
320049641042920000,Rp 0,0
320029698651979000,Rp 2.000.000,2000000
320017560417824000,Rp 0,0
320083144204525000,Rp 2.000.000,2000000
320096969810659000,Rp 1.500.000,1500000
320047646990364000,Rp 500.000,500000
320022935900185000,Rp 1.500.000,1500000
320040168378508000,Rp 1.000.000,1000000
320003403059940000,Rp 2.000.000,2000000
320048219429500000,Rp 1.000.000,1000000
320059631632949000,Rp 2.000.000,2000000
320007663691144000,Rp 500.000,500000
320068263778211000,Rp 0,0
320019652706863000,Rp 1.000.000,1000000
320009630333109000,Rp 1.500.000,1500000
320055470570524000,Rp 1.500.000,1500000
320018936026238000,Rp 1.500.000,1500000
320092465372946000,Rp 500.000,500000
320000790708680000,Rp 2.000.000,2000000
320055510272176000,Rp 500.000,500000
320057008174562000,Rp 1.200.000,1200000
320089927206257000,Rp 1.500.000,1500000
320087186914157000,Rp 1.000.000,1000000
320093109886507000,Rp 1.500.000,1500000
320022109544371000,Rp 2.000.000,2000000
320022570008952000,Rp 0,0
320019612533701000,Rp 2.000.000,2000000
320084667446156000,Rp 2.000.000,2000000
320072219656443000,Rp 0,0
320042630910821000,Rp 1.000.000,1000000
320088078821801000,Rp 1.500.000,1500000
320031997382554000,Rp 2.000.000,2000000
320051018757635000,Rp 500.000,500000
320011698665840000,Rp 1.000.000,1000000
320032946330301000,Rp 2.000.000,2000000
320002838853192000,Rp 0,0
320061284928640000,Rp 1.500.000,1500000
320007070511720000,Rp 500.000,500000
320059065008851000,Rp 1.000.000,1000000
320002424763447000,Rp 500.000,500000
320008871869986000,Rp 1.000.000,1000000
320047297062551000,Rp 1.500.000,1500000
320017347291868000,Rp 1.000.000,1000000
320003220422950000,Rp 2.000.000,2000000
320048327700913000,Rp 1.000.000,1000000
320058763755143000,Rp 1.000.000,1000000
320053944378245000,Rp 2.000.000,2000000
320079280517861000,Rp 1.500.000,1500000
320000670491787000,Rp 2.000.000,2000000
320023710455523000,Rp 1.500.000,1500000
320077391836804000,Rp 2.000.000,2000000
320091920248456000,Rp 0,0
320085345134890000,Rp 0,0
320082651220602000,Rp 1.500.000,1500000
320056190713256000,Rp 0,0
320028951312724000,Rp 0,0
320042621147706000,Rp 1.000.000,1000000
320042779691793000,Rp 1.500.000,1500000
320027861028094000,Rp 0,0
320011926910473000,Rp 0,0
320048915285009000,Rp 1.500.000,1500000
320041933089271000,Rp 1.000.000,1000000
320001703724612000,Rp 1.500.000,1500000
320053280403539000,Rp 2.000.000,2000000
320025438098722000,Rp 1.500.000,1500000
320015214708127000,Rp 2.000.000,2000000
320054977459400000,Rp 1.000.000,1000000
320067047272052000,Rp 500.000,500000
320017454193329000,Rp 0,0
320070358013272000,Rp 2.000.000,2000000
320036131171910000,Rp 1.500.000,1500000
320038104559598000,Rp 500.000,500000
320097102985501000,Rp 0,0
