NIK,Nama_KK,Tanggal_Lahir,Umur,Domisili,Pekerjaan
320050643115741000,Mana Wayudin,21/11/1974,50,Semarang,Buruh
320035080157737000,Ozy Usada,25/03/1993,32,Padang,Buruh
320066370425922000,Kenzie Ardianto,09/10/1991,33,Manado,Petani
320020160642594000,Balamantri Nurdiyanti,21/01/1969,56,Medan,Petani
320065198827649000,Xanana Saefulla,26/09/1971,53,Lampung,Wiraswasta
320091881160809000,Ica Nababan,11/02/1985,40,Semarang,Karyawan
320086729908420000,Kariman Puspasari,05/11/1968,56,Merauke,Wiraswasta
320032607950517000,Yance Simbolon,07/06/1977,48,Manokwari,Wiraswasta
320038149738175000,Nyana Mustofa,01/07/2000,25,Padang,Petani
320070309459112000,Calista Siombing,30/08/1971,53,Malang,Tidak Bekerja
320056828111469000,Rati Saragi,02/09/1956,68,Malang,Karyawan
320074458197692000,Nrima Uyaina,24/05/1980,45,Depok,Tidak Bekerja
320083569091806000,Nilam Simanjuntak,26/06/1992,33,Bengkulu,Buruh
320055263288603000,Saadat Suartini,20/01/1975,50,Bogor,Wiraswasta
320007526903666000,Nilam Tamrin,14/07/1976,48,Merauke,Buruh
320005834153295000,Kartika Utama,10/12/1955,69,Padang,Buruh
320020524369779000,Kjayeng Ramawati,22/08/1973,51,Sorong,Petani
320023757541922000,Bambang Pratama,13/09/1997,27,Pekanbaru,Petani
320012178302779000,Ina Prakasa,18/05/1981,44,Depok,Wiraswasta
320014201781673000,Kania Agustina,13/03/1957,68,Depok,Buruh
320095076107476000,Bagas Sudiati,22/12/1974,50,Lampung,Karyawan
320026996547400000,Alika Nurdiyanti,17/04/1986,39,Bogor,Wiraswasta
320050279632018000,Saiful Zulkarnain,08/10/1986,38,Pontianak,Petani
320025520814230000,Eru Nurdiyanti,16/05/1956,69,Manokwari,Karyawan
320061641922481000,Emong Yolanda,25/06/1956,69,Lampung,Buruh
320083674157812000,Asmadi Idayat,04/03/1970,55,Manokwari,Tidak Bekerja
320025053848712000,Titi Saefulla,20/04/2025,0,Semarang,Karyawan
320049615997543000,Ana Wijaya,14/06/1979,46,Gorontalo,Karyawan
320055493809217000,Aisya Widiastuti,08/08/1967,57,Malang,Tidak Bekerja
320065660405344000,Rwani Dabukke.,05/10/1995,29,Balikpapan,Petani
320025395899437000,Warta Sirait,05/05/1997,28,Banjarmasin,Karyawan
320054432077941000,Nadine Agustina,07/07/1995,29,Semarang,Wiraswasta
320099790408632000,Ani Aryanti,17/07/1965,59,Palembang,Tidak Bekerja
320006745305159000,Timbul Lailasari,16/09/1998,26,Pontianak,Tidak Bekerja
320087789454308000,Tgkbalapati Zulaika,12/01/1994,31,Palu,Tidak Bekerja
320001941615529000,Fitria Suwarno,18/07/1994,30,Bandung,Buruh
320022099756722000,Kamila Prasetya,10/11/1975,49,Depok,Petani
320086794541978000,Rangga Saefulla,19/10/1990,34,Pontianak,Buruh
