NIK,Nama_KK,Domisili,Tanggal_Lahir,Pekerjaan,Umur
320050643115741000,Mana Wayudin,Semarang,21/11/1974,Buruh,50
320035080157737000,Ozy Usada,Padang,25/03/1993,Buruh,32
320066370425922000,Kenzie Ardianto,Manado,09/10/1991,Petani,33
320020160642594000,Balamantri Nurdiyanti,Medan,21/01/1969,Petani,56
320065198827649000,Xanana Saefulla,Lampung,26/09/1971,Wiraswasta,53
320091881160809000,Ica Nababan,Semarang,11/02/1985,Karyawan,40
320086729908420000,Kariman Puspasari,Merauke,05/11/1968,Wiraswasta,56
320032607950517000,Yance Simbolon,Manokwari,07/06/1977,Wiraswasta,48
320038149738175000,Nyana Mustofa,Padang,01/07/2000,Petani,25
320070309459112000,Calista Siombing,Malang,30/08/1971,Tidak Bekerja,53
320056828111469000,Rati Saragi,Malang,02/09/1956,Karyawan,68
320074458197692000,Nrima Uyaina,Depok,24/05/1980,Tidak Bekerja,45
320083569091806000,Nilam Simanjuntak,Bengkulu,26/06/1992,Buruh,33
320055263288603000,Saadat Suartini,Bogor,20/01/1975,Wiraswasta,50
320007526903666000,Nilam Tamrin,Merauke,14/07/1976,Buruh,48
320005834153295000,Kartika Utama,Padang,10/12/1955,Buruh,69
320020524369779000,Kjayeng Ramawati,Sorong,22/08/1973,Petani,51
320023757541922000,Bambang Pratama,Pekanbaru,13/09/1997,Petani,27
320012178302779000,Ina Prakasa,Depok,18/05/1981,Wiraswasta,44
320014201781673000,Kania Agustina,Depok,13/03/1957,Buruh,68
320095076107476000,Bagas Sudiati,Lampung,22/12/1974,Karyawan,50
320026996547400000,Alika Nurdiyanti,Bogor,17/04/1986,Wiraswasta,39
320050279632018000,Saiful Zulkarnain,Pontianak,08/10/1986,Petani,38
320025520814230000,Eru Nurdiyanti,Manokwari,16/05/1956,Karyawan,69
320061641922481000,Emong Yolanda,Lampung,25/06/1956,Buruh,69
320083674157812000,Asmadi Idayat,Manokwari,04/03/1970,Tidak Bekerja,55
320025053848712000,Titi Saefulla,Semarang,20/04/2025,Karyawan,0
