NIK,Nama_KK,Domisili,Tanggal_Lahir,Pekerjaan,Umur,KSE,KSE_Score,KSE_Details
320050643115741000,Mana Wayudin,Semarang,21/11/1974,Buruh,50,"P1,P3,P4,P6",4,"Score: 4/6 - P1,P3,P4,P6"
320035080157737000,Ozy Usada,Padang,25/03/1993,Buruh,32,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
320066370425922000,Kenzie Ardianto,Manado,09/10/1991,Petani,33,"P1,P4,P5",3,"Score: 3/6 - P1,P4,P5"
320020160642594000,Balamantri Nurdiyanti,Medan,21/01/1969,Petani,56,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
320065198827649000,Xanana Saefulla,Lampung,26/09/1971,Wiraswasta,53,"P1,P4,P6",3,"Score: 3/6 - P1,P4,P6"
320091881160809000,Ica Nababan,Semarang,11/02/1985,Karyawan,40,"P1,P2,P4,P6",4,"Score: 4/6 - P1,P2,P4,P6"
320086729908420000,Kariman Puspasari,Merauke,05/11/1968,Wiraswasta,56,"P1,P2,P6",3,"Score: 3/6 - P1,P2,P6"
320032607950517000,Yance Simbolon,Manokwari,07/06/1977,Wiraswasta,48,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6"
320038149738175000,Nyana Mustofa,Padang,01/07/2000,Petani,25,"P1,P2,P6",3,"Score: 3/6 - P1,P2,P6"
320070309459112000,Calista Siombing,Malang,30/08/1971,Tidak Bekerja,53,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6"
320056828111469000,Rati Saragi,Malang,02/09/1956,Karyawan,68,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6"
320074458197692000,Nrima Uyaina,Depok,24/05/1980,Tidak Bekerja,45,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6"
320083569091806000,Nilam Simanjuntak,Bengkulu,26/06/1992,Buruh,33,"P1,P2",2,"Score: 2/6 - P1,P2"
320055263288603000,Saadat Suartini,Bogor,20/01/1975,Wiraswasta,50,"P1,P2,P6",3,"Score: 3/6 - P1,P2,P6"
320007526903666000,Nilam Tamrin,Merauke,14/07/1976,Buruh,48,"P1,P3,P5",3,"Score: 3/6 - P1,P3,P5"
320005834153295000,Kartika Utama,Padang,10/12/1955,Buruh,69,"P1,P4,P5,P6",4,"Score: 4/6 - P1,P4,P5,P6"
320020524369779000,Kjayeng Ramawati,Sorong,22/08/1973,Petani,51,"P1,P3,P5",3,"Score: 3/6 - P1,P3,P5"
320023757541922000,Bambang Pratama,Pekanbaru,13/09/1997,Petani,27,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6"
320012178302779000,Ina Prakasa,Depok,18/05/1981,Wiraswasta,44,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6"
320014201781673000,Kania Agustina,Depok,13/03/1957,Buruh,68,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6"
320095076107476000,Bagas Sudiati,Lampung,22/12/1974,Karyawan,50,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
320026996547400000,Alika Nurdiyanti,Bogor,17/04/1986,Wiraswasta,39,"P1,P4,P5,P6",4,"Score: 4/6 - P1,P4,P5,P6"
320050279632018000,Saiful Zulkarnain,Pontianak,08/10/1986,Petani,38,"P1,P4,P5",3,"Score: 3/6 - P1,P4,P5"
320025520814230000,Eru Nurdiyanti,Manokwari,16/05/1956,Karyawan,69,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6"
320061641922481000,Emong Yolanda,Lampung,25/06/1956,Buruh,69,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
320083674157812000,Asmadi Idayat,Manokwari,04/03/1970,Tidak Bekerja,55,"P1,P3,P6",3,"Score: 3/6 - P1,P3,P6"
320049615997543000,Ana Wijaya,Gorontalo,14/06/1979,Karyawan,46,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6"
320055493809217000,Aisya Widiastuti,Malang,08/08/1967,Tidak Bekerja,57,"P1,P2",2,"Score: 2/6 - P1,P2"
320065660405344000,Rwani Dabukke.,Balikpapan,05/10/1995,Petani,29,"P1,P2,P4",3,"Score: 3/6 - P1,P2,P4"
320025395899437000,Warta Sirait,Banjarmasin,05/05/1997,Karyawan,28,"P1,P3,P4,P5,P6",5,"Score: 5/6 - P1,P3,P4,P5,P6"
320054432077941000,Nadine Agustina,Semarang,07/07/1995,Wiraswasta,29,"P1,P2",2,"Score: 2/6 - P1,P2"
320099790408632000,Ani Aryanti,Palembang,17/07/1965,Tidak Bekerja,59,"P1,P6",2,"Score: 2/6 - P1,P6"
320006745305159000,Timbul Lailasari,Pontianak,16/09/1998,Tidak Bekerja,26,"P1,P3,P4,P5",4,"Score: 4/6 - P1,P3,P4,P5"
320087789454308000,Tgkbalapati Zulaika,Palu,12/01/1994,Tidak Bekerja,31,"P1,P3,P4",3,"Score: 3/6 - P1,P3,P4"
320001941615529000,Fitria Suwarno,Bandung,18/07/1994,Buruh,30,"P1,P4,P6",3,"Score: 3/6 - P1,P4,P6"
320022099756722000,Kamila Prasetya,Depok,10/11/1975,Petani,49,"P1,P5",2,"Score: 2/6 - P1,P5"
320086794541978000,Rangga Saefulla,Pontianak,19/10/1990,Buruh,34,"P1,P3,P5,P6",4,"Score: 4/6 - P1,P3,P5,P6"
320029523417350000,Rlatika Widiastuti,Semarang,28/04/1957,Buruh,68,"P1,P2,P3",3,"Score: 3/6 - P1,P2,P3"
320090131222138000,Sabri Ramawati,Manokwari,15/02/1993,Buruh,32,"P1,P5",2,"Score: 2/6 - P1,P5"
320045178801629000,Tgkwisnu Pudjiastuti.,Gorontalo,24/04/1978,Wiraswasta,47,P1,1,Score: 1/6 - P1
320054244519285000,Lanang Kusumo,Balikpapan,23/05/1961,Petani,64,"P1,P4,P6",3,"Score: 3/6 - P1,P4,P6"
320028864619255000,Zamira Rajata,Banjarmasin,06/12/1965,Tidak Bekerja,59,"P1,P5,P6",3,"Score: 3/6 - P1,P5,P6"
320058935744799000,Vino Pangestu,Pekanbaru,01/03/1991,Tidak Bekerja,34,"P1,P2,P6",3,"Score: 3/6 - P1,P2,P6"
